"Population","GSS_He","GSS_Dj","GSS_WCst","GSS_S","GSS_thetaW","GSS_Pi","GSS_D","GSS_Da","GSSp_He1","GSSp_He2","GSSp_S1","GSSp_S2","GSSp_thetaW1","GSSp_thetaW2","GSSp_Pi1","GSSp_Pi2","GSSp_D1","GSSp_D2","SFSbin10_1","SFSbin10_2","SFSbin10_3","SFSbin10_4","SFSbin10_5","SFSbin10_6","SFSbin10_7","SFSbin10_8","SFSbin10_9","SFSbin10_10","MEAN_LSS_He","MEAN_LSS_Dj","MEAN_LSS_WCst","MEAN_LSSp_He1","MEAN_LSSp_He2","MEAN_WSS10000_He","MEAN_WSS10000_Dj","MEAN_WSS10000_WCst","MEAN_WSS10000_S","MEAN_WSS10000_thetaW","MEAN_WSS10000_Pi","MEAN_WSS10000_D","MEAN_WSS10000_Da","MEAN_WSSp10000_He1","MEAN_WSSp10000_He2","MEAN_WSSp10000_S1","MEAN_WSSp10000_S2","MEAN_WSSp10000_thetaW1","MEAN_WSSp10000_thetaW2","MEAN_WSSp10000_Pi1","MEAN_WSSp10000_Pi2","MEAN_WSSp10000_D1","MEAN_WSSp10000_D2","VAR_LSS_He","VAR_LSS_Dj","VAR_LSS_WCst","VAR_LSSp_He1","VAR_LSSp_He2","VAR_WSS10000_He","VAR_WSS10000_Dj","VAR_WSS10000_WCst","VAR_WSS10000_S","VAR_WSS10000_thetaW","VAR_WSS10000_Pi","VAR_WSS10000_D","VAR_WSS10000_Da","VAR_WSSp10000_He1","VAR_WSSp10000_He2","VAR_WSSp10000_S1","VAR_WSSp10000_S2","VAR_WSSp10000_thetaW1","VAR_WSSp10000_thetaW2","VAR_WSSp10000_Pi1","VAR_WSSp10000_Pi2","VAR_WSSp10000_D1","VAR_WSSp10000_D2","KURT_LSS_He","KURT_LSS_Dj","KURT_LSS_WCst","KURT_LSSp_He1","KURT_LSSp_He2","KURT_WSS10000_He","KURT_WSS10000_Dj","KURT_WSS10000_WCst","KURT_WSS10000_Pi","KURT_WSS10000_D","KURT_WSS10000_Da","KURT_WSSp10000_He1","KURT_WSSp10000_He2","KURT_WSSp10000_S1","KURT_WSSp10000_S2","KURT_WSSp10000_thetaW1","KURT_WSSp10000_thetaW2","KURT_WSSp10000_Pi1","KURT_WSSp10000_Pi2","KURT_WSSp10000_D1","KURT_WSSp10000_D2","SKEW_LSS_He","SKEW_LSS_Dj","SKEW_LSS_WCst","SKEW_LSSp_He1","SKEW_LSSp_He2","SKEW_WSS10000_He","SKEW_WSS10000_Dj","SKEW_WSS10000_WCst","SKEW_WSS10000_Pi","SKEW_WSS10000_D","SKEW_WSS10000_Da","SKEW_WSSp10000_He1","SKEW_WSSp10000_He2","SKEW_WSSp10000_S1","SKEW_WSSp10000_S2","SKEW_WSSp10000_thetaW1","SKEW_WSSp10000_thetaW2","SKEW_WSSp10000_Pi1","SKEW_WSSp10000_Pi2","SKEW_WSSp10000_D1","SKEW_WSSp10000_D2","Q05_LSS_He","Q05_LSS_Dj","Q05_LSS_WCst","Q05_LSSp_He1","Q05_LSSp_He2","Q05_WSS10000_He","Q05_WSS10000_Dj","Q05_WSS10000_WCst","Q05_WSS10000_S","Q05_WSS10000_thetaW","Q05_WSS10000_Pi","Q05_WSS10000_D","Q05_WSS10000_Da","Q05_WSSp10000_He1","Q05_WSSp10000_He2","Q05_WSSp10000_S1","Q05_WSSp10000_S2","Q05_WSSp10000_thetaW1","Q05_WSSp10000_thetaW2","Q05_WSSp10000_Pi1","Q05_WSSp10000_Pi2","Q05_WSSp10000_D1","Q05_WSSp10000_D2","Q95_LSS_He","Q95_LSS_Dj","Q95_LSS_WCst","Q95_LSSp_He1","Q95_LSSp_He2","Q95_WSS10000_He","Q95_WSS10000_Dj","Q95_WSS10000_WCst","Q95_WSS10000_S","Q95_WSS10000_thetaW","Q95_WSS10000_Pi","Q95_WSS10000_D","Q95_WSS10000_Da","Q95_WSSp10000_He1","Q95_WSSp10000_He2","Q95_WSSp10000_S1","Q95_WSSp10000_S2","Q95_WSSp10000_thetaW1","Q95_WSSp10000_thetaW2","Q95_WSSp10000_Pi1","Q95_WSSp10000_Pi2","Q95_WSSp10000_D1","Q95_WSSp10000_D2"
"Avalon",0.372938464658,0.165191925606,0.275387399826,43187,13916.8765766,16106.0934732,0.728355071755,0.13538406803,0.151356033129,0.359733565473,8280,36347,5520,12848.1470052,5592,15535.8134921,0,1.0510762253,0,9364,3403,4781,5623,4580,3895,4016,4572,2953,0.372938464658104,0.165191925605549,0.15287694250439,0.15135603312946,0.35973356547265,0.372990433745466,0.165334817951605,0.226806758320021,7.06664042420173,2.30359275811576,2.64499234605056,0.534558245782872,0.136300519738545,0.150681739978057,0.359915922885497,1.29975991235636,6.02343297751638,0.861745823541223,2.1293798718957,0.878825668399648,2.57135250870994,0.775330131608032,0.830474045723443,0.0197181302077351,0.0849656360611862,0.115507072899482,0.0873988468283832,0.0380114699905473,0.00659533626715442,0.0296866200241957,0.0507580080241132,18.5194324285451,1.98079737106625,3.06322185063219,0.749793135272935,0.0171675347884558,0.0255622644326679,0.0116106965410385,1.73881322906987,15.8665837499827,0.766400180421945,1.98303005713389,0.849148995427861,3.22710354714555,1.95381532790552,0.872290740884094,1.73834468046827,5.1049944593632,3.03705904115911,4.43629979471698,2.18758929538859,2.97803073046908,6.32862255935694,3.40490617914874,18.4207252722801,2.67899830844977,9.82439000731679,6.4539668523083,3.56668006811676,5.60753521361061,13.3216891713832,6.45748477699891,13.317828938921,6.52067194440033,18.800626574414,5.28562560641668,2.92136270386735,-0.392938755954939,1.22371189908642,0.782371916476413,1.68412820596779,-0.769007420213444,-0.424534784408975,1.25314398518338,0.508295340471626,2.47753741250903,-0.403850840935305,1.99152405480097,1.51594092958449,-0.635416139126647,1.34236085894158,2.04770069429803,1.41402699966105,2.04766842548679,1.47717821633942,2.49381673327404,1.2001573604156,-0.678979160344845,0.142857142857,-0.130136986301,-0.323529411765,0,0,0.223544973545,-0.0327868852459,-0.102959777384,2,0.644493786401,0.551948051948,-1.10317789853,6.93889390391e-18,0,0.177777777778,0,1,0,0.353485762379,0,0.466666666667,-0.709896167879,-1.05964614837,0.545454545455,0.887755102041,0.839357429719,1,0.555555555556,0.495184815185,0.485194467651,0.636243386243,14,4.63594987517,5.57934287934,1.818085239051,0.383333333333,0.469696969697,0.533333333333,4,13,2.66666666667,4.59531491093,2.66666666667,5.6,3.19453275546,2.09336897366
"Humboldt",0.289508002813,0.121410766887,0.255387247366,61431,16450.5100412,17784.7661208,0.329476798413,0.0842306292543,0.263122257669,0.228001859828,46969,45561,15553.2806919,15087.0365902,16163.6002886,14006.3822511,0.185854214233,-0.339249722515,16110,7870,5514,4394,6770,2931,3319,3801,4094,6628,0.289508002812905,0.121410766886502,0.142774199288343,0.263122257668906,0.228001859827851,0.289631792642897,0.121453289156252,0.223867495260079,9.29769985837769,2.49011598083616,2.70373677530188,0.256858892898393,0.0842813447670485,0.26322073586915,0.228096539910831,7.13439468672169,6.92731682700916,2.36261807916476,2.2944173208569,2.45375865689876,2.12962436321808,0.144207687414649,-0.280079690368343,0.0282712466733898,0.0396554289495498,0.0462719110812429,0.0367827884280778,0.0324757261269824,0.00571561983915907,0.0111558379850384,0.0247086755811108,27.6580769166529,1.9848130655437,3.00850049843515,0.689984621526375,0.00606791486383699,0.00805119703967509,0.00788170684385182,20.2214298789911,20.096051923044,2.21726789971363,2.20747087963226,2.61215911052487,2.21015962336711,0.649714565935125,0.649440099601178,1.42138671943191,4.59985911606812,3.47140104992865,1.62397382448887,1.86128726038619,3.35161824136092,6.01730271145224,2.84489202414999,14.938776085476,2.69110249077472,7.77051582944028,3.33817426411492,3.41041540400744,12.2302029660237,13.2168542941852,12.2302895048675,13.2511819834526,10.1499199651328,12.819371201515,2.564377551555,2.62262208105747,0.0786034328864016,1.57863731495899,1.14410528324577,-0.0334120312613217,0.250546634391572,0.0781104137481308,1.35784659852815,0.444841791062694,2.28129600579262,0.00928443843806077,1.68902579283963,-0.00490652599707516,0.117106833482135,1.95994019005219,2.06462362037765,1.95987418075834,2.07078318890156,1.80079636400738,2.1221208579935,-0.0446290194808755,0.283248162986023,0.0833333333333,-0.0352941176471,-0.0909090909091,0,0,0.165942028986,-0.003293677324645,-0.00661157024793,3,0.803365241062,0.601449275362,-1.14702340918,-0.00151515151515,0.116161616162,0.0833333333333,2,1,0.662278553595,0.331139276798,0.484848484848,0.333333333333,-1.17900809648,-1.52733177737,0.518115942029,0.590425531915,0.593582887701,0.530303030303,0.530303030303,0.413043478261,0.319385153057,0.505454545455,18,4.82019144637,5.57246376812,1.62683782511,0.23063973064,0.409090909091,0.373106060606,15,15,4.96708915196,4.96708915196,5.19696969697,4.66666666667,1.45343251183,1.13764113171
"Davis",0.282145983865,0,0.0184431734677,51268,16121.3344933,14465.0603008,-0.466509338186,0.00382554373472,0.293676647485,0.275337488901,27675,43311,15095.4545455,15309.8218544,15055.3333333,14116.002381,-0.0279512941476,-0.391805559575,0,20589,11095,182,7313,4588,72,3380,2752,1297,0.282145983865181,0,-0.00702136120411143,0.293676647485331,0.275337488900649,0.282274752588587,0,0.00858494106824069,8.02055863306546,2.52314892795466,2.27679648996556,-0.368689005563018,0.003815522694871,0.29387547713092,0.2754494950357,4.3544901302957,6.81077865335102,2.37985298880968,2.40826287020802,2.36945723128185,2.22338888950821,-0.0567448255997601,-0.316916879561654,0.0189422317168214,0,0.0386630302852973,0.0772989960879042,0.028421015577531,0.00481244776650862,0,0.0169000572394272,21.0028738018755,2.08048026414224,2.00996582780006,0.562034216045959,0.0021606245587862,0.0217715930689681,0.00767364974494997,10.5765013824099,17.8331356177689,3.19106390729598,2.23218418992193,3.21276603504735,2.08514636170153,0.606674104441504,0.60729297730555,1.82654746274188,0,4.8827581284932,1.32458777144575,2.09660919703405,3.41506481281207,0,6.08666512915719,7.93842379630579,2.85102367306695,41.8879848879728,2.68329169344962,3.65768540318813,8.2125181393362,10.4658594737072,8.65691531305117,10.4618300096589,8.32568198154652,8.08275279789167,4.81675627352335,2.63718481981255,0.468108241132691,0,1.38861331697284,0.0161325588658697,-0.0314435373254779,0.355650852441043,0,1.37438212067934,1.57257058884962,0.324595901155929,3.50131689855162,-0.0703609204653349,-0.148223687869123,1.58212312224884,1.74157790320067,1.64611677491265,1.74450267180555,1.62003134477625,1.54200687505752,1.23982404025972,0.304632617804646,0.142857142857,-0.157894736842,-0.204437400951,0,0,0.169719169719,-0.092085573726505,-0.148124869055,2,0.628904365035,0.527472527473,-1.5141643001,-0.05,0,0.133333333333,0,1,0,0.353485762379,0,0.4,-0.808607540063,-1.56221758343,0.527472527473,0.282608695652,0.298245614035,0.666666666667,0.533333333333,0.4,0.11669793621,0.251837007348,16,5.03123492028,4.76923076923,0.956421406344445,0.0805555555556,0.525641025641,0.415873015873,10,14,5.45454545455,4.94880067331,5.5,4.8,1.63299316186,1.04827364253
"Stanislaus",0.276487767704,-0.00336356060256,0.0127019000615,61264,18462.8607986,16938.7466006,-0.363013521645,0.00205047339428,0.288286376547,0.271454119083,32530,54571,17743.6363636,18070.6014741,17661,16630.3651515,-0.0489783180534,-0.377485570657,0,22294,11758,8575,6212,6,4694,3428,2901,1396,0.276487767703964,-0.00336356060258615,-0.0155637951885483,0.288286376546681,0.271454119083279,0.276514133996159,-0.00329778914449141,0.0021260011958879,9.28336380255942,2.7978943320763,2.56769114855421,-0.294320113421343,0.00212791438971359,0.288192706400583,0.271480696951876,4.92480086184382,8.28747714808044,2.68628370410807,2.74454949201503,2.67328012100676,2.52065294873139,-0.0453172347840245,-0.310530153436543,0.0203419650588123,0.0150523136162826,0.0363890414023346,0.0762405821617665,0.025827343451194,0.00445141401639514,0.00442833248562437,0.0156710734320551,27.2322740379604,2.47387306060278,2.50196309549674,0.551313810777089,0.0019459072843023,0.0180762965497971,0.00586636004911294,12.4379243192549,23.6500816556161,3.70043944442605,2.59405098366278,3.69908814644046,2.47713793396454,0.576022545691073,0.592847837580821,1.74022967230583,12.0461048974695,5.17239295409535,1.17857850149581,2.03963196004416,3.43064185631276,16.6845000026697,5.97425418921835,13.0579074369493,2.79538355938005,37.0744115562891,2.80021094934975,3.6691054746834,8.5823765256214,9.74211535959608,8.58269533330005,9.7392226534708,8.19381234715925,9.58529736813913,3.19270161979195,2.74023127999229,0.388425961123212,2.09352807716465,1.58228688645978,-0.00336857257329906,0.104026539315021,0.31798225184439,2.08180273986352,1.40439020165965,1.97501457931603,0.260330217347992,3.42621420902952,-0.0374709015686265,0.055751961471961,1.64217335080869,1.64468710283047,1.6422327048323,1.64478071791733,1.60983281381501,1.693713442474,0.998176054612141,0.29882487839159,0.125,-0.153846153846,-0.2,0,0,0.17224826388865,-0.0843862685009,-0.14528462192,3,0.904096735373,0.625,-1.48466723105,-0.0467171717172,0.0555555555556,0.1526098901096,1,2,0.545454545455,0.662278553595,0.5,0.545454545455,-0.808607540063,-1.52733177737,0.525,0.180327868852,0.318518518519,0.666666666667,0.530303030303,0.390277777778,0.1146816964,0.249740932642,18,5.42458041224,5.26666666667,0.998930275451,0.0776515151515,0.5,0.397727272727,11,17,6,5.62936770556,6.16666666667,5.30303030303,1.63299316186,1.05676237894
"Stebbins",0.246677684704,0.00300347702657,0.0145103038254,69961,19719.8799126,17257.8174996,-0.524106841536,0.00360423766706,0.261307002564,0.228394079798,54885,48762,19401.0660682,17236.6727451,18281.2992064,15978.2214286,-0.290006080356,-0.36684842086,25318,12257,8423,6313,4818,3852,3062,2539,2280,1099,0.246677684703788,0.00300347702656385,0.00582900654874102,0.261307002563665,0.228394079797857,0.246667215772616,0.00302568717199732,0.0114365725213648,10.3852575006075,2.92768545060076,2.5651669553417,-0.422362993988328,0.0036189079874005,0.261322693918281,0.228341558982143,8.10633066994468,7.3037493388985,2.866278828626,2.58190689407394,2.71032031905311,2.38193103806619,-0.241729079119524,-0.306540383687877,0.0213395967414356,0.00474663997345264,0.0107126810873033,0.0326399256172445,0.0348489270258481,0.00391181368107119,0.0010848575090871,0.00504755452873741,33.7311199912254,2.67935196519555,2.43105966293644,0.497486544792872,0.000448849143526304,0.00616883154919204,0.00695694139301985,22.6158377093522,21.4324212605907,2.82456864336817,2.677986027987,2.92037625033717,2.37549643962745,0.515291630515705,0.595798986683421,1.88927206140493,18.9371676250256,7.22846789355132,1.89511326071162,1.81613105255696,3.83472116564695,15.3139275679576,6.57674915197516,11.082227393224,2.99954084470407,19.0510221797953,3.69911781375672,3.6657796718227,9.45981261811452,12.760056022393,9.46462584272735,12.7597411325662,11.3690070281005,8.21171162720197,2.77208263945844,2.67235594942176,0.539376698285476,2.94655474018358,1.64611095034382,0.00911279724359921,0.203953255046944,0.395743912010236,2.1830594319716,1.47450942741258,1.83347532218542,0.357091208178528,2.6249786915563,0.0145243682362096,0.0661460629201498,1.62713785725568,1.90560014340666,1.62760203088187,1.90551356102915,1.9110648417693,1.51716323397795,0.256038752387884,0.320845982574625,0.1,-0.0875,-0.111111111111,0,0,0.149307479224,-0.03545793384515,-0.0740740740741,3,0.845608835462,0.589473684211,-1.51283569039,-0.0195555555556,0.133333333333,0.0944444444444,2,1,0.706971524758,0.353485762379,0.571428571429,0.4,-1.39868003246,-1.4944929557,0.505263157895,0.0869565217391,0.222222222222,0.533333333333,0.533333333333,0.351052631579,0.0610409381703099,0.148148148148,20,5.63739223641,5.17695218438,0.800057253206,0.0412698412698,0.387654320988,0.361904761905,16,15,5.65577219806,5.30228643569,5.62222222222,5.08888888889,1.00439652433,1.04827364253
"Riverside",0.218456970803,-0.00059156242249,0.00515308321305,113897,32104.1031775,24881.5936036,-0.944404182806,0.00292850524381,0.202961922323,0.221095076966,43351,103077,23646,31063.8597307,23115.3333333,25182.0659813,-0.23601584881,-0.832653430693,48723,23856,12827,8346,5783,4285,3419,2997,2509,1152,0.218456970803366,-0.00059156242246832,-0.0246236834374597,0.202961922322734,0.221095076966304,0.218481682260678,-0.000617360858673034,-0.000451884765029063,16.1475982686111,4.5517559639808,3.52999246905828,-0.815695854782657,0.00290773763143789,0.203103147007459,0.221100353766488,6.14241062021493,14.6126500259006,3.3504292060167,4.40402244664958,3.27624909273995,3.572233076594,-0.207033519294409,-0.719834161697672,0.0181263189151294,0.00780752739934724,0.0321407811624527,0.068723550127124,0.0213091320512447,0.00212822279373542,0.00109596175249107,0.00698575507026395,71.2642562118633,5.66319366556078,4.17722404953296,0.315666671212773,0.000507671753042841,0.00871035965288732,0.00247287033345846,18.3051942555873,60.9052898595445,5.44618430747328,5.53276783371331,5.25756297531251,4.31077555357013,0.384087464862086,0.334686883080305,2.54009536545916,18.4545579515849,5.61096682773804,1.47010486555441,2.41971029117608,5.49997338588953,13.3097532206712,5.67059483862707,13.9273999553237,3.7146770929112,15.5980741661781,3.94377875962169,5.31456330250161,13.7619965689794,8.20525237897905,13.761860012783,8.20537523364039,13.9440138362896,12.6751852220058,4.50567597303845,3.5769897155051,0.891082653790414,2.59096850834926,1.8088085150934,0.576389783248082,0.576775656590526,0.715213849265097,1.50510532378723,1.1632825434043,2.10685459999949,0.567758445105031,1.92599673060471,0.368890108381758,0.498436990432353,2.06075975825932,1.49720296620425,2.06072829731581,1.49760664527908,2.08489815043787,2.01124908083489,1.285214977721,0.532865483784098,0.1,-0.125,-0.173508483853,0,0,0.14962406015,-0.0437454177083,-0.109114249037,5,1.4093480591,0.957894736842,-1.65889701607,-0.025,0.0555555555556,0.144444444444,1,4,0.545454545455,1.20546231383,0.5,0.95,-0.817336480377,-1.58513727812,0.505263157895,0.129032258065,0.372549019608,0.666666666667,0.5,0.295951417004,0.0579004833745,0.15706080412,30,8.45608835462,6.89473684211,0.172703095133,0.043005952381,0.354166666667,0.303125,13,28,7.09090909091,8.43823619682,7.16666666667,7.00833333333,1.08976266772,0.299580717581
"Placerita",0.205434611354,0.0156275596451,0.052427332738,98438,27746.6808484,20222.5722724,-1.13834266283,0.0130974923543,0.150395361811,0.230690470283,40960,83254,15797.2451791,27568.6693505,14802.0619048,22708.7085137,-0.346876881404,-0.834950310301,39536,24263,11460,6628,4684,3159,2852,2331,2159,1366,0.2054346113535,0.0156275596450771,0.0172577142226524,0.150395361810568,0.23069047028299,0.205423980544344,0.0156065246677549,0.0458342202127077,14.1651597960137,4.00003307752385,2.90880982397827,-0.969264521765253,0.0130776649064385,0.150389220833367,0.230684998849159,5.80734886272438,12.074950730409,2.25425216475019,3.99912202657764,2.10466729909106,3.28109621787267,-0.320258872590633,-0.720223281571721,0.0176975560716015,0.00652897133390775,0.0143656297301537,0.038507056497138,0.0239632262177891,0.00229585963174528,0.00089693187925696,0.0054277240690909,63.454685047659,5.0683368763548,3.06886363691663,0.327915365669989,0.000441757029926768,0.0053428811987476,0.00310566138104452,15.1710813506512,51.5766329074539,2.28784237362105,5.65823811822376,2.17426344436248,4.04355877754489,0.547780996536803,0.368996680631065,2.89909718890737,25.6981429896548,8.51373180876206,2.38779280396581,2.38909417629841,5.32218418126087,37.835030505264,6.00773393425176,14.5569700268485,3.84175595689859,56.6026876867379,4.49183511826552,5.16083405160554,10.1727831806781,17.7464319977017,10.3514719209377,17.7329465972643,9.95663588106709,15.892979628715,2.93241283562691,3.51925865010565,1.07594537316958,3.79548278566225,1.88272410056157,0.878627400296726,0.392106388098135,0.771170722431189,3.18624948306159,1.20658126089652,2.18488110270579,0.689768728574407,3.89255661781819,0.613241528534036,0.210395115414544,1.79218196286668,2.42034104368722,1.80434958282689,2.42012754326928,1.78857862735639,2.3009952171048,0.355565843110347,0.608318749550292,0.0909090909091,-0.0631868131868,-0.10867095797,0,0,0.134041835358,-0.01759529007442,-0.0493696757835,4,1.12747844728,0.744019138756,-1.79806927913,-0.00899057539683,0.0395061728395,0.14696969697,1,3,0.385674931129,0.993417830393,0.25,0.80303030303,-1.44751418746,-1.62928660889,0.505263157895,0.153543307087,0.252003561888,0.535714285714,0.530303030303,0.287862436841,0.0675918408798,0.182802871817,27,7.61047951916,5.76916163515,0.0639646980166099,0.0494949494949,0.275170068027,0.320346320346,13,24,4.89795918367,7.94734264314,4.65793650794,6.56060606061,1.00827582695,0.380085583918
